Año Censal,Entidad,Municipio,farms,Total_Ingresos_Millones
2003,hidalgo,atitalaquia,7.0,1.555
2003,hidalgo,atotonilco el grande,9.0,6.918
2003,hidalgo,atotonilco de tula,10.0,3.806
2003,hidalgo,calnali,9.0,1.302
2003,hidalgo,cuautepec de hinojosa,10.0,2.718
2003,hidalgo,chapantongo,3.0,1.104
2003,hidalgo,emiliano zapata,7.0,0.935
2003,hidalgo,epazoyucan,3.0,0.314
2003,hidalgo,francisco i. madero,11.0,4.015
2003,hidalgo,huautla,4.0,1.237
2003,hidalgo,huehuetla,3.0,1.044
2003,hidalgo,huejutla de reyes,27.0,41.237
2003,hidalgo,huichapan,10.0,6.385
2003,hidalgo,ixmiquilpan,32.0,42.829
2003,hidalgo,jacala de ledezma,7.0,3.179
2003,hidalgo,san agustin metzquititlan,4.0,0.94
2003,hidalgo,metztitlan,6.0,3.418
2003,hidalgo,mineral del monte,3.0,0.615
2003,hidalgo,mixquiahuala de juarez,20.0,10.107
2003,hidalgo,pachuca de soto,157.0,328.728
2003,hidalgo,progreso de obregon,13.0,7.527
2003,hidalgo,mineral de la reforma,19.0,4.112
2003,hidalgo,san agustin tlaxiaca,8.0,3.128
2003,hidalgo,san bartolo tutotepec,3.0,0.742
2003,hidalgo,san salvador,5.0,0.763
2003,hidalgo,santiago tulantepec de lugo guerrero,8.0,2.215
2003,hidalgo,tasquillo,4.0,1.842
2003,hidalgo,tepeapulco,22.0,16.247
2003,hidalgo,tepeji del rio de ocampo,18.0,13.625
2003,hidalgo,tepetitlan,4.0,0.754
2003,hidalgo,villa de tezontepec,6.0,2.799
2003,hidalgo,tezontepec de aldama,17.0,6.216
2003,hidalgo,tizayuca,33.0,18.604
2003,hidalgo,tlanchinol,4.0,4.643
2003,hidalgo,tlaxcoapan,13.0,5.102
2003,hidalgo,tolcayuca,6.0,0.789
2003,hidalgo,tula de allende,38.0,54.415000000000006
2003,hidalgo,tulancingo de bravo,70.0,93.801
2003,hidalgo,zacualtipan de angeles,10.0,8.972
2003,hidalgo,zempoala,7.0,1.254
2003,hidalgo,zimapan,19.0,10.026
2003,jalisco,acatlan de juarez,6.0,2.059
2003,jalisco,ahualulco de mercado,11.0,4.263
2003,jalisco,amacueca,3.0,0.59
2003,jalisco,amatitan,7.0,1.907
2003,jalisco,ameca,21.0,50.617
2003,jalisco,san juanito de escobedo,5.0,0.93
2003,jalisco,arandas,46.0,83.74799999999999
2003,jalisco,atenguillo,3.0,0.852
2003,jalisco,atotonilco el alto,31.0,79.171
2003,jalisco,autlan de navarro,25.0,73.969
2003,jalisco,ayotlan,11.0,2.827
2003,jalisco,ayutla,7.0,5.022
2003,jalisco,la barca,36.0,70.38
2003,jalisco,casimiro castillo,6.0,3.655
2003,jalisco,cihuatlan,28.0,18.414
2003,jalisco,zapotlan el grande,46.0,170.027
2003,jalisco,cocula,7.0,15.092
2003,jalisco,colotlan,7.0,4.394
2003,jalisco,concepcion de buenos aires,4.0,1.105
2003,jalisco,cuquio,5.0,0.926
2003,jalisco,chapala,23.0,14.444
2003,jalisco,chimaltitan,3.0,0.1
2003,jalisco,degollado,10.0,3.804
2003,jalisco,encarnacion de diaz,18.0,7.348
2003,jalisco,etzatlan,13.0,9.082
2003,jalisco,el grullo,14.0,16.872
2003,jalisco,guadalajara,827.0,2594.2180000000003
2003,jalisco,huejucar,4.0,4.112
2003,jalisco,huejuquilla el alto,8.0,2.906
2003,jalisco,ixtlahuacan de los membrillos,11.0,9.65
2003,jalisco,jalostotitlan,10.0,4.264
2003,jalisco,jamay,11.0,3.868
2003,jalisco,jesus maria,3.0,2.17
2003,jalisco,jilotlan de los dolores,3.0,0.508
2003,jalisco,jocotepec,11.0,6.826
2003,jalisco,juanacatlan,3.0,1.032
2003,jalisco,juchitlan,4.0,0.811
2003,jalisco,lagos de moreno,40.0,105.13300000000001
2003,jalisco,magdalena,13.0,8.52
2003,jalisco,la manzanilla de la paz,4.0,1.727
2003,jalisco,mascota,9.0,3.812
2003,jalisco,mazamitla,11.0,3.945
2003,jalisco,mezquitic,4.0,1.559
2003,jalisco,ocotlan,44.0,94.656
2003,jalisco,ojuelos de jalisco,7.0,2.881
2003,jalisco,pihuamo,11.0,2.768
2003,jalisco,poncitlan,19.0,6.1419999999999995
2003,jalisco,puerto vallarta,82.0,376.095
2003,jalisco,villa purificacion,5.0,1.374
2003,jalisco,quitupan,3.0,0.69
2003,jalisco,el salto,37.0,13.197000000000001
2003,jalisco,san juan de los lagos,24.0,75.424
2003,jalisco,san julian,9.0,15.762
2003,jalisco,san martin hidalgo,16.0,5.403
2003,jalisco,san miguel el alto,16.0,13.591999999999999
2003,jalisco,gomez farias,6.0,0.777
2003,jalisco,sayula,14.0,21.936
2003,jalisco,tala,24.0,40.204
2003,jalisco,tamazula de gordiano,13.0,14.271999999999998
2003,jalisco,tapalpa,5.0,2.38
2003,jalisco,tecalitlan,10.0,2.863
2003,jalisco,techaluta de montenegro,3.0,0.514
2003,jalisco,teocaltiche,18.0,54.82599999999999
2003,jalisco,tepatitlan de morelos,41.0,169.68900000000002
2003,jalisco,tequila,17.0,14.24
2003,jalisco,teuchitlan,4.0,0.841
2003,jalisco,tizapan el alto,3.0,2.652
2003,jalisco,tlajomulco de zuniga,59.0,78.827
2003,jalisco,san pedro tlaquepaque,173.0,260.236
2003,jalisco,toliman,4.0,0.788
2003,jalisco,tomatlan,8.0,2.089
2003,jalisco,tonala,129.0,160.296
2003,jalisco,tonaya,4.0,2.809
2003,jalisco,tuxcueca,3.0,1.642
2003,jalisco,tuxpan,20.0,5.077
2003,jalisco,union de san antonio,7.0,4.85
2003,jalisco,union de tula,10.0,4.797
2003,jalisco,valle de juarez,5.0,1.566
2003,jalisco,san gabriel,4.0,2.316
2003,jalisco,villa corona,8.0,2.268
2003,jalisco,villa guerrero,4.0,1.164
2003,jalisco,yahualica de gonzalez gallo,8.0,27.612000000000002
2003,jalisco,zacoalco de torres,7.0,3.519
2003,jalisco,zapopan,350.0,1471.2179999999998
2003,jalisco,zapotiltic,7.0,3.199
2003,jalisco,zapotlanejo,24.0,18.379
2003,mexico,acambay de ruiz castaneda,5.0,1.351
2003,mexico,acolman,37.0,11.606
2003,mexico,aculco,6.0,5.157
2003,mexico,almoloya de juarez,8.0,3.582
2003,mexico,amatepec,15.0,5.867
2003,mexico,amecameca,19.0,12.631
2003,mexico,apaxco,9.0,7.49
2003,mexico,atenco,19.0,5.522
2003,mexico,atizapan de zaragoza,186.0,97.702
2003,mexico,atlacomulco,31.0,52.05500000000001
2003,mexico,axapusco,10.0,1.793
2003,mexico,calimaya,16.0,4.158
2003,mexico,capulhuac,19.0,20.872
2003,mexico,coacalco de berriozabal,101.0,93.205
2003,mexico,coyotepec,16.0,9.921
2003,mexico,cuautitlan,48.0,35.189
2003,mexico,chalco,138.0,89.771
2003,mexico,chapultepec,8.0,1.88
2003,mexico,chicoloapan,79.0,22.557000000000002
2003,mexico,chimalhuacan,247.0,92.427
2003,mexico,ecatepec de morelos,848.0,506.231
2003,mexico,ecatzingo,3.0,0.8
2003,mexico,huehuetoca,19.0,10.68
2003,mexico,hueypoxtla,11.0,3.327
2003,mexico,huixquilucan,63.0,57.786
2003,mexico,ixtapaluca,152.0,61.510000000000005
2003,mexico,ixtapan de la sal,23.0,21.146
2003,mexico,ixtlahuaca,31.0,12.338
2003,mexico,jaltenco,7.0,2.954
2003,mexico,jilotepec,21.0,27.889
2003,mexico,jilotzingo,10.0,2.009
2003,mexico,jocotitlan,20.0,4.446
2003,mexico,juchitepec,13.0,3.537
2003,mexico,lerma,38.0,9.518
2003,mexico,melchor ocampo,25.0,6.061999999999999
2003,mexico,metepec,65.0,246.274
2003,mexico,naucalpan de juarez,338.0,709.928
2003,mexico,nezahualcoyotl,684.0,596.1099999999999
2003,mexico,nextlalpan,5.0,1.368
2003,mexico,nicolas romero,119.0,58.247
2003,mexico,ocoyoacac,28.0,12.716999999999999
2003,mexico,ocuilan,5.0,1.718
2003,mexico,el oro,3.0,1.816
2003,mexico,otumba,15.0,7.482
2003,mexico,otzolotepec,10.0,2.143
2003,mexico,ozumba,13.0,8.189
2003,mexico,la paz,128.0,64.838
2003,mexico,rayon,9.0,1.554
2003,mexico,san antonio la isla,7.0,1.11
2003,mexico,san felipe del progreso,11.0,3.914
2003,mexico,san martin de las piramides,10.0,3.969
2003,mexico,san mateo atenco,25.0,71.114
2003,mexico,soyaniquilpan de juarez,3.0,1.004
2003,mexico,tecamac,131.0,43.888999999999996
2003,mexico,tejupilco,24.0,21.446
2003,mexico,temascalapa,18.0,5.272
2003,mexico,temascalcingo,13.0,3.81
2003,mexico,temoaya,9.0,12.161
2003,mexico,tenancingo,38.0,89.203
2003,mexico,tenango del valle,36.0,38.284000000000006
2003,mexico,teoloyucan,34.0,17.939
2003,mexico,teotihuacan,29.0,16.509
2003,mexico,tepetlixpa,8.0,2.5709999999999997
2003,mexico,tepotzotlan,30.0,16.88
2003,mexico,tequixquiac,15.0,6.618
2003,mexico,texcalyacac,4.0,0.83
2003,mexico,texcoco,95.0,140.316
2003,mexico,tianguistenco,40.0,27.878
2003,mexico,timilpan,4.0,1.482
2003,mexico,tlalmanalco,11.0,2.711
2003,mexico,tlalnepantla de baz,306.0,344.618
2003,mexico,tlatlaya,5.0,1.327
2003,mexico,toluca,257.0,781.303
2003,mexico,tultepec,49.0,14.646
2003,mexico,tultitlan,194.0,100.873
2003,mexico,valle de bravo,32.0,24.661
2003,mexico,villa del carbon,8.0,4.214
2003,mexico,villa guerrero,11.0,7.434
2003,mexico,villa victoria,8.0,8.734
2003,mexico,xonacatlan,11.0,2.58
2003,mexico,zacualpan,4.0,1.427
2003,mexico,zinacantepec,28.0,11.620000000000001
2003,mexico,zumpahuacan,4.0,0.665
2003,mexico,zumpango,52.0,51.252
2003,mexico,cuautitlan izcalli,153.0,85.04299999999999
2003,mexico,valle de chalco solidaridad,177.0,61.366
2003,mexico,luvianos,5.0,1.788
2003,michoacan de ocampo,acuitzio,6.0,1.37
2003,michoacan de ocampo,aguililla,6.0,2.506
2003,michoacan de ocampo,alvaro obregon,3.0,3.084
2003,michoacan de ocampo,angangueo,7.0,0.709
2003,michoacan de ocampo,apatzingan,51.0,170.40900000000002
2003,michoacan de ocampo,ario,20.0,9.4
2003,michoacan de ocampo,arteaga,6.0,9.594
2003,michoacan de ocampo,buenavista,11.0,1.822
2003,michoacan de ocampo,coahuayana,6.0,3.04
2003,michoacan de ocampo,coalcoman de vazquez pallares,8.0,2.83
2003,michoacan de ocampo,copandaro,3.0,0.796
2003,michoacan de ocampo,cotija,17.0,13.966
2003,michoacan de ocampo,chavinda,8.0,2.9050000000000002
2003,michoacan de ocampo,cheran,21.0,5.874
2003,michoacan de ocampo,chilchota,10.0,2.972
2003,michoacan de ocampo,chucandiro,4.0,0.948
2003,michoacan de ocampo,churintzio,8.0,2.752
2003,michoacan de ocampo,churumuco,4.0,0.713
2003,michoacan de ocampo,epitacio huerta,5.0,1.56
2003,michoacan de ocampo,hidalgo,55.0,65.227
2003,michoacan de ocampo,la huacana,11.0,6.383
2003,michoacan de ocampo,huetamo,31.0,35.241
2003,michoacan de ocampo,huiramba,4.0,1.036
2003,michoacan de ocampo,indaparapeo,4.0,0.691
2003,michoacan de ocampo,irimbo,6.0,1.669
2003,michoacan de ocampo,ixtlan,4.0,1.249
2003,michoacan de ocampo,jimenez,7.0,2.1479999999999997
2003,michoacan de ocampo,jiquilpan,20.0,28.264
2003,michoacan de ocampo,lagunillas,6.0,0.704
2003,michoacan de ocampo,maravatio,29.0,51.605
2003,michoacan de ocampo,marcos castellanos,9.0,8.724
2003,michoacan de ocampo,lazaro cardenas,60.0,74.365
2003,michoacan de ocampo,morelia,364.0,620.499
2003,michoacan de ocampo,morelos,5.0,1.667
2003,michoacan de ocampo,mugica,13.0,9.039
2003,michoacan de ocampo,nuevo parangaricutiro,16.0,3.734
2003,michoacan de ocampo,pajacuaran,9.0,2.592
2003,michoacan de ocampo,panindicuaro,7.0,2.521
2003,michoacan de ocampo,paracuaro,10.0,4.663
2003,michoacan de ocampo,paracho,14.0,5.809
2003,michoacan de ocampo,patzcuaro,50.0,49.215
2003,michoacan de ocampo,periban,5.0,3.57
2003,michoacan de ocampo,la piedad,51.0,134.12
2003,michoacan de ocampo,purepero,11.0,5.106
2003,michoacan de ocampo,puruandiro,27.0,56.674
2003,michoacan de ocampo,querendaro,4.0,3.685
2003,michoacan de ocampo,quiroga,16.0,5.715
2003,michoacan de ocampo,los reyes,30.0,55.469
2003,michoacan de ocampo,sahuayo,38.0,79.156
2003,michoacan de ocampo,santa ana maya,8.0,4.296
2003,michoacan de ocampo,senguio,5.0,0.604
2003,michoacan de ocampo,tacambaro,33.0,58.402
